From, Austria, Belgium, Czech Republic, Denmark, France, Germany, Luxembourg, Netherlands, Norway, Poland, Sweden, Switzerland
Austria ,,,1900.0,,,2400.0,,,,,,4100.0
Belgium ,,,,,8000.0,2700.0,,3900.0,,,,
Czech Republic ,4100.0,,,,,5500.0,,,,1600.0,,
Denmark ,,,,,,13200.0,,3500.0,1900.0,,2600.0,
France ,,4400.0,,,,8400.0,,,,,,21200.0
Germany ,20800.0,3500.0,5700.0,4200.0,14900.0,,4100.0,6400.0,1300.0,1900.0,281.0,8400.0
Luxembourg ,,,,,,125.0,,,,,,
Netherlands ,,6200.0,,1200.0,,4700.0,,,513.0,,,
Norway ,,,,8200.0,,4500.0,,3800.0,,,9800.0,
Poland ,,,1200.0,,,3700.0,,,,,398.0,
Sweden ,,,,9100.0,,2300.0,,,4200.0,3700.0,,
Switzerland ,1300.0,,,,4900.0,6200.0,,,,,,
