,From,To,Value,Year
0,Poland , Czech Republic,1300.0,2022
1,Norway , Netherlands,2000.0,2022
2,Sweden , Germany,3200.0,2022
3,Germany , Luxembourg,4000.0,2022
4,Sweden , Poland,4000.0,2022
5,Denmark , Netherlands,3300.0,2022
6,Poland , Germany,3000.0,2022
7,Austria , Switzerland,5500.0,2022
8,Norway , Germany,5700.0,2022
9,Germany , Belgium,4800.0,2022
10,Norway , Denmark,5000.0,2022
11,Germany , Czech Republic,5200.0,2022
12,Czech Republic , Austria,9100.0,2022
13,Netherlands , Belgium,8500.0,2022
14,Netherlands , Germany,6000.0,2022
15,Sweden , Denmark,10900.0,2022
16,Germany , Switzerland,10400.0,2022
17,Belgium , France,13500.0,2022
18,Norway , Sweden,10900.0,2022
19,Denmark , Germany,14200.0,2022
20,Germany , Austria,17600.0,2022
21,France , Switzerland,18000.0,2022
22,Germany , France,20500.0,2022
0,Czech Republic , Poland,772.0,2022
1,Netherlands , Norway,566.0,2022
2,Germany , Sweden,96.0,2022
3,Luxembourg , Germany,112.0,2022
4,Poland , Sweden,217.0,2022
5,Netherlands , Denmark,1700.0,2022
6,Germany , Poland,2000.0,2022
7,Switzerland , Austria,1700.0,2022
8,Germany , Norway,2000.0,2022
9,Belgium , Germany,3300.0,2022
10,Denmark , Norway,3200.0,2022
11,Czech Republic , Germany,3500.0,2022
12,Austria , Czech Republic,760.0,2022
13,Belgium , Netherlands,2900.0,2022
14,Germany , Netherlands,5700.0,2022
15,Denmark , Sweden,2200.0,2022
16,Switzerland , Germany,3400.0,2022
17,France , Belgium,1400.0,2022
18,Sweden , Norway,6000.0,2022
19,Germany , Denmark,3900.0,2022
20,Austria , Germany,1500.0,2022
21,Switzerland , France,5800.0,2022
22,France , Germany,5200.0,2022
